S=10
R=50
1,1,145
1,2,170
1,3,290
1,4,350
1,5,320
1,6,420
1,7,360
1,8,500
1,9,490
1,10,315
2,1,72
2,2,110
2,3,270
2,4,175
2,5,225
2,6,330
2,7,390
2,8,400
2,9,310
2,10,330
3,1,120
3,2,350
3,3,290
3,4,300
3,5,260
3,6,225
3,7,290
3,8,245
3,9,325
3,10,300
4,1,60
4,2,180
4,3,250
4,4,225
4,5,100
4,6,350
4,7,415
4,8,310
4,9,270
4,10,420
5,1,120
5,2,180
5,3,200
5,4,290
5,5,80
5,6,250
5,7,400
5,8,400
5,9,280
5,10,430
6,1,170
6,2,190
6,3,325
6,4,200
6,5,335
6,6,215
6,7,365
6,8,395
6,9,250
6,10,240
7,1,120
7,2,270
7,3,265
7,4,285
7,5,315
7,6,320
7,7,300
7,8,380
7,9,380
7,10,430
8,1,170
8,2,90
8,3,400
8,4,550
8,5,300
8,6,340
8,7,325
8,8,220
8,9,340
8,10,315
9,1,550
9,2,144
9,3,540
9,4,280
9,5,225
9,6,280
9,7,420
9,8,370
9,9,370
9,10,225
10,1,170
10,2,150
10,3,260
10,4,310
10,5,175
10,6,410
10,7,410
10,8,470
10,9,380
10,10,380
