S=10
R=3
1,1,28
1,2,53
1,3,49
1,4,32
1,5,45
1,6,41
1,7,37
1,8,38
1,9,49
1,10,33
2,1,33
2,2,48
2,3,53
2,4,38
2,5,52
2,6,35
2,7,42
2,8,29
2,9,39
2,10,31
3,1,42
3,2,43
3,3,51
3,4,34
3,5,47
3,6,38
3,7,48
3,8,35
3,9,54
3,10,49
4,1,35
4,2,55
4,3,36
4,4,50
4,5,36
4,6,42
4,7,46
4,8,37
4,9,40
4,10,57
5,1,41
5,2,44
5,3,49
5,4,41
5,5,52
5,6,46
5,7,39
5,8,47
5,9,46
5,10,48
6,1,50
6,2,54
6,3,47
6,4,44
6,5,37
6,6,50
6,7,42
6,8,44
6,9,47
6,10,46
7,1,40
7,2,57
7,3,51
7,4,36
7,5,40
7,6,46
7,7,48
7,8,52
7,9,38
7,10,47
8,1,44
8,2,47
8,3,44
8,4,47
8,5,54
8,6,51
8,7,43
8,8,45
8,9,42
8,10,45
9,1,46
9,2,48
9,3,46
9,4,48
9,5,50
9,6,56
9,7,53
9,8,41
9,9,51
9,10,51
10,1,43
10,2,45
10,3,40
10,4,43
10,5,44
10,6,49
10,7,57
10,8,43
10,9,44
10,10,56
