S=10
R=52
1,1,280
1,2,170
1,3,300
1,4,300
1,5,400
1,6,385
1,7,420
1,8,560
1,9,260
1,10,450
2,1,440
2,2,450
2,3,82
2,4,500
2,5,580
2,6,540
2,7,420
2,8,230
2,9,590
2,10,510
3,1,480
3,2,380
3,3,450
3,4,540
3,5,420
3,6,320
3,7,540
3,8,220
3,9,450
3,10,360
4,1,180
4,2,450
4,3,320
4,4,400
4,5,330
4,6,410
4,7,560
4,8,420
4,9,450
4,10,550
5,1,90
5,2,360
5,3,450
5,4,530
5,5,300
5,6,240
5,7,225
5,8,270
5,9,170
5,10,285
6,1,220
6,2,540
6,3,515
6,4,360
6,5,480
6,6,190
6,7,430
6,8,320
6,9,450
6,10,450
7,1,420
7,2,405
7,3,540
7,4,440
7,5,420
7,6,315
7,7,580
7,8,415
7,9,450
7,10,500
8,1,405
8,2,430
8,3,280
8,4,300
8,5,370
8,6,470
8,7,325
8,8,460
8,9,435
8,10,270
9,1,550
9,2,341
9,3,339
9,4,360
9,5,490
9,6,435
9,7,515
9,8,260
9,9,260
9,10,90
10,1,315
10,2,500
10,3,430
10,4,599
10,5,540
10,6,540
10,7,342
10,8,360
10,9,420
10,10,240
